start,stop,speaker
0.5,11.8,I
12.9,13.6,I
14.7,15.9,S
15.3,17.6,I
19.5,28.4,S
29.9,32.6,S
33.7,76.2,S
77.6,105.1,S
104.2,104.6,I
106.1,107.1,S
107.4,109.0,I
