start,stop,speaker
0.5,5.1,I
6.1,6.9,S
7.6,13.4,I
14.6,27.7,S
28.0,28.5,I
28.5,40.5,S
36.0,36.7,I
40.5,41.1,I
41.4,53.8,S
54.0,54.4,I
55.7,58.1,I
58.8,68.0,S
69.1,73.1,S
73.5,77.7,I
79.2,80.6,S
81.9,84.1,S
84.4,85.9,I
86.8,95.7,S
97.4,120.5,S
109.7,110.3,I
121.3,135.9,S
134.6,134.6,I
136.7,142.0,S
139.0,144.9,I
144.8,145.2,S
145.8,148.5,I
146.2,146.7,S
148.5,160.3,S
161.5,164.3,I
165.6,166.8,I
170.4,178.8,I
176.9,183.0,S
182.5,183.9,I
189.9,190.2,I
191.2,197.0,I
196.5,257.9,S
259.1,284.0,S
284.2,286.2,I
286.1,293.6,S
293.6,294.0,I
294.2,296.4,S
296.8,297.3,I
297.6,316.0,S
309.9,310.1,I
316.0,321.9,I
322.0,322.4,S
323.0,327.4,I
324.6,325.0,S
330.4,338.9,S
338.3,340.2,I
342.0,360.6,S
343.5,343.7,I
361.7,368.9,I
