start,stop,speaker
0.5,14.3,I
15.5,25.3,I
41.8,44.0,S
43.7,45.7,I
55.2,58.6,S
72.4,75.0,I
73.0,73.0,S
77.9,80.2,I
82.0,83.0,I
87.3,95.8,S
97.5,101.1,S
103.3,107.5,S
107.5,108.2,I
120.8,122.1,S
125.9,134.1,S
137.0,145.7,S
150.1,152.7,I
155.8,160.1,S
161.2,166.5,S
164.7,164.9,I
168.0,170.3,S
171.6,173.3,I
182.6,184.0,S
186.6,193.7,S
195.0,200.2,S
201.8,207.5,S
209.4,213.1,S
214.2,218.0,S
219.1,219.9,I
233.8,243.8,S
245.9,258.4,S
271.2,274.6,I
282.6,304.0,S
305.6,306.6,S
309.4,322.0,S
322.7,328.1,I
334.4,337.6,S
340.0,351.9,S
357.1,359.2,I
365.2,380.8,S
382.3,391.3,S
393.6,399.5,S
400.5,401.8,I
402.9,403.8,I
405.7,405.9,I
405.9,406.0,S
