start,stop,speaker
0.5,12.0,I
13.0,14.1,S
15.8,16.6,S
16.6,19.4,I
19.4,25.3,S
24.1,24.3,I
25.7,27.0,I
26.4,31.9,S
32.2,32.7,I
32.7,37.9,S
37.9,46.7,I
45.3,45.9,S
47.7,47.7,I
47.7,48.7,S
50.9,52.9,S
54.4,55.2,S
58.0,60.4,S
61.8,65.6,S
66.2,75.2,I
67.0,67.9,S
76.4,76.5,I
76.5,77.8,S
79.2,82.3,S
80.7,81.3,I
82.9,89.4,S
86.3,87.1,I
90.0,97.8,I
98.2,99.3,S
101.1,113.8,S
114.9,117.5,S
117.5,118.6,I
119.7,123.4,I
125.4,129.0,I
129.0,140.4,S
139.3,144.7,I
146.6,147.9,S
149.7,162.0,S
164.2,171.0,S
167.1,167.4,I
170.1,177.8,I
176.7,179.8,S
180.0,182.9,I
180.6,188.4,S
188.0,190.1,I
191.7,196.1,I
197.8,197.9,I
197.9,199.0,S
201.5,202.8,S
206.4,208.8,S
210.0,210.9,S
210.1,211.5,I
212.6,220.4,S
219.5,222.5,I
223.2,224.1,S
226.2,229.3,I
232.2,247.0,S
248.6,250.1,S
250.5,253.4,I
253.4,254.2,S
254.6,257.9,I
256.7,257.0,S
258.3,261.0,S
262.7,267.6,I
267.6,272.4,S
273.8,276.5,I
279.1,282.4,I
282.4,286.2,S
289.0,292.9,S
289.3,290.2,I
292.9,300.4,I
301.8,305.9,S
304.5,307.0,I
307.2,307.9,S
307.9,309.8,I
312.1,313.2,S
316.4,318.0,S
317.0,320.0,I
