start,stop,speaker
0.5,1.6,I
2.7,8.1,I
9.2,12.7,S
15.2,18.7,S
20.3,24.0,S
25.3,28.0,S
30.2,32.2,S
35.6,38.9,S
41.5,48.6,I
51.2,52.7,S
54.2,55.4,S
57.6,59.5,S
61.8,65.9,S
65.0,66.8,I
68.2,71.8,I
80.3,82.2,S
83.6,86.2,S
85.1,89.7,I
91.2,97.6,I
97.6,98.1,S
100.2,101.7,S
103.7,105.4,S
105.4,106.2,I
107.3,110.8,I
113.5,127.3,S
128.4,129.8,S
132.5,137.3,I
138.0,138.5,S
138.5,138.6,I
145.3,148.5,S
152.8,156.2,S
157.7,161.4,S
161.9,166.3,I
167.9,169.6,S
172.1,174.1,S
174.1,176.6,I
178.6,181.7,I
182.4,183.7,S
186.6,191.9,S
193.2,195.3,S
198.1,200.3,I
202.6,202.6,I
202.6,206.0,S
207.1,208.8,S
210.6,211.1,I
