start,stop,speaker
0.5,8.1,I
8.1,25.1,S
26.5,37.8,S
38.6,46.4,I
46.0,59.6,S
59.9,60.2,I
62.1,69.5,I
69.5,70.1,S
71.2,84.7,S
84.7,89.7,I
91.2,94.6,I
95.8,102.1,S
103.3,110.4,S
111.1,117.4,I
117.4,121.4,S
123.5,143.4,S
146.2,149.1,I
149.1,152.1,S
152.1,152.8,I
154.5,157.2,I
158.5,185.5,S
185.1,192.4,I
193.3,194.6,S
195.9,216.1,S
208.3,208.7,I
216.7,223.9,S
224.2,227.5,I
228.2,228.9,S
228.2,228.4,I
229.5,230.4,S
231.7,234.3,S
236.0,240.7,S
237.9,239.0,I
241.3,243.4,I
242.7,246.5,S
244.5,253.1,I
253.1,253.1,S
254.5,266.2,S
266.2,266.9,I
266.8,275.2,S
276.9,279.3,S
281.4,283.0,S
