start,stop,speaker
0.5,3.0,I
13.9,17.6,I
20.3,25.7,I
26.8,28.0,S
33.3,51.7,S
47.4,47.8,I
52.9,75.9,S
59.7,59.9,I
76.6,80.5,S
81.6,91.2,I
91.1,91.5,S
93.8,107.5,I
108.3,122.2,S
117.2,119.2,I
122.9,125.0,S
126.5,144.2,S
130.9,131.4,I
143.6,149.5,I
153.0,153.5,I
153.5,153.7,S
156.9,186.3,S
168.1,168.4,I
186.9,187.6,S
188.7,226.9,S
227.3,230.0,I
227.9,235.7,S
236.1,240.4,I
240.3,242.0,S
241.5,246.2,I
246.1,251.2,S
252.6,272.9,S
254.1,254.4,I
271.8,275.9,I
277.0,280.0,I
283.9,293.0,I
291.6,292.5,S
293.7,294.1,I
295.3,298.3,I
298.9,305.9,S
307.3,317.5,S
318.6,351.6,S
346.0,346.6,I
352.2,359.8,I
360.1,376.5,S
379.4,404.0,S
405.0,406.6,I
405.1,405.6,S
411.0,416.2,I
416.9,417.5,S
423.5,427.7,S
429.2,444.5,S
441.2,442.2,I
446.5,448.0,S
449.4,458.5,S
461.5,471.4,S
475.9,475.9,S
475.9,475.9,I
