start,stop,speaker
0.5,19.2,I
3.1,3.4,S
10.6,12.1,S
19.3,22.4,S
22.4,22.9,I
24.7,25.5,I
27.9,35.7,S
33.6,44.7,I
45.5,49.3,S
47.2,51.5,I
61.7,66.8,S
66.8,71.8,I
70.8,70.8,S
78.1,81.2,I
83.1,87.0,S
86.7,87.9,I
88.0,114.8,S
115.8,133.9,S
135.0,136.7,S
138.0,160.5,S
160.3,160.4,I
161.5,166.4,S
169.2,244.6,S
246.2,262.5,S
259.1,259.4,I
263.1,270.4,S
270.1,275.0,I
273.8,274.8,S
275.7,275.7,I
275.7,276.5,S
277.6,319.5,S
317.6,331.4,I
325.5,326.0,S
327.4,327.9,S
330.1,347.7,S
338.1,338.9,I
348.4,348.8,S
350.7,351.2,S
352.6,409.0,S
406.9,409.0,I
