start,stop,speaker
0.5,12.0,I
13.7,14.1,S
13.8,13.9,I
14.8,21.6,S
25.1,36.3,S
39.0,45.0,S
46.9,47.3,S
47.6,48.0,I
49.8,53.7,I
54.7,55.0,I
60.5,68.3,S
66.1,66.2,I
70.4,71.5,S
73.8,75.6,I
77.3,77.8,I
77.4,80.5,S
80.4,84.6,I
85.8,87.2,S
88.3,101.6,S
100.4,100.8,I
103.0,103.7,S
104.8,107.3,S
108.6,114.6,S
116.7,121.5,I
125.5,125.6,I
127.5,130.4,S
134.4,142.2,S
143.7,152.5,S
153.7,168.7,S
162.4,163.5,I
169.5,176.0,S
177.3,179.2,S
181.5,182.0,I
184.8,191.3,I
194.4,196.1,I
197.8,204.7,S
206.6,212.8,S
213.8,219.2,S
218.4,221.5,I
223.9,247.9,S
252.0,254.0,I
255.6,266.0,S
267.2,277.8,S
279.4,280.0,S
279.6,280.2,I
283.1,288.2,I
287.6,295.6,S
288.9,289.3,I
297.3,299.3,S
297.9,298.5,I
300.2,301.6,S
302.6,302.8,I
304.5,309.3,I
310.5,317.7,S
