start,stop,speaker
0.5,5.4,I
6.5,18.6,I
20.1,22.9,S
22.9,27.7,I
28.9,33.2,S
34.9,35.0,S
36.5,43.5,S
48.5,49.0,S
50.2,56.7,S
57.8,74.4,S
71.0,71.0,I
75.4,80.2,S
80.9,81.2,I
