start,stop,speaker
0.5,7.7,I
12.0,15.3,I
17.6,24.0,S
31.5,32.3,S
33.6,35.5,S
36.5,40.0,S
38.0,38.5,I
39.5,39.6,I
41.2,45.5,S
50.0,53.5,S
54.8,55.6,I
55.6,56.0,S
60.9,62.2,I
63.8,66.5,I
67.0,71.7,S
69.9,97.2,I
97.0,99.2,S
101.3,113.0,S
113.0,116.5,I
118.1,119.8,S
121.5,138.9,S
131.8,132.8,I
140.7,142.9,S
142.9,147.0,I
149.2,152.0,S
153.1,168.8,I
170.3,177.9,S
179.0,180.1,S
181.4,183.7,S
181.5,182.4,I
184.5,185.6,S
186.7,206.1,S
187.5,188.5,I
193.5,193.6,I
206.7,209.1,S
210.1,219.2,S
210.2,212.0,I
217.4,219.0,I
219.8,224.2,S
224.2,228.0,I
225.2,225.4,S
229.9,232.7,I
234.2,234.3,I
234.3,234.5,S
235.9,236.2,I
236.6,238.1,S
240.0,241.4,S
243.7,250.1,S
247.5,248.1,I
254.2,255.5,S
257.2,265.8,S
267.5,277.3,I
280.4,281.4,S
283.3,304.3,S
305.4,311.5,S
310.2,310.6,I
312.2,321.0,S
313.6,314.5,I
326.7,328.1,S
328.8,330.3,I
329.5,329.5,S
333.1,336.7,I
337.7,337.8,I
337.8,338.9,S
340.7,357.1,S
345.4,346.2,I
357.9,359.5,S
358.3,359.8,I
362.1,367.6,I
368.2,369.7,S
368.8,369.0,I
371.5,373.9,S
375.2,379.2,S
383.5,394.5,S
399.8,402.5,S
403.5,414.0,S
419.5,420.0,I
