start,stop,speaker
0.5,7.6,I
7.6,21.6,S
17.4,17.6,I
22.3,34.4,S
29.8,30.2,I
35.7,37.2,S
35.8,45.8,I
46.8,46.9,I
46.9,63.4,S
54.6,55.0,I
63.0,63.9,I
65.0,67.5,I
69.8,69.9,I
69.9,84.0,S
85.4,87.2,S
88.8,93.8,S
95.9,103.5,I
103.5,116.4,S
119.1,119.9,I
121.2,127.3,I
122.9,125.4,S
126.9,146.2,S
128.4,128.4,I
139.6,142.6,I
147.1,165.6,S
167.8,176.5,I
175.4,219.7,S
220.9,227.2,I
227.7,230.9,S
231.9,244.7,S
247.2,252.4,I
252.5,258.5,S
259.9,267.7,S
267.3,278.4,I
269.3,270.2,S
280.6,298.6,S
298.6,301.5,I
301.4,306.3,S
