start,stop,speaker
4.5,15.9,I
17.3,24.2,S
25.6,37.6,S
26.6,28.1,I
38.7,44.0,S
45.2,46.7,S
46.9,53.5,I
57.0,60.1,S
64.3,64.7,S
67.3,96.6,S
91.8,91.9,I
100.4,101.5,I
102.3,117.9,S
119.2,122.1,I
123.7,137.8,S
138.9,146.0,S
147.2,152.3,S
152.3,152.5,I
153.1,172.0,S
153.5,154.0,I
167.4,168.5,I
172.6,174.5,S
175.4,181.4,I
181.4,187.3,S
186.0,188.5,I
188.0,195.0,S
196.0,205.6,S
198.8,199.1,I
207.2,209.1,I
209.9,235.5,S
229.6,230.0,I
236.1,236.5,I
236.8,251.5,S
247.0,247.2,I
251.0,251.5,I
253.7,256.8,I
257.7,260.6,S
262.9,270.3,S
265.8,266.7,I
270.6,271.3,I
271.3,281.5,S
274.5,276.6,I
281.5,287.2,I
285.7,348.0,S
288.1,289.0,I
301.5,302.4,I
313.7,314.2,I
323.8,325.8,I
349.4,362.1,S
359.5,359.7,I
362.1,367.4,I
366.3,375.4,S
375.4,376.0,I
376.7,385.3,S
386.7,398.6,S
400.9,402.9,I
