start,stop,speaker
0.5,25.5,I
9.8,11.0,S
18.4,19.0,S
27.6,27.7,S
30.2,32.4,S
33.2,36.5,I
36.7,37.7,S
37.7,40.7,I
40.2,41.3,S
44.3,49.7,S
50.9,70.9,S
71.4,77.0,I
74.0,78.3,S
78.2,79.6,I
79.8,92.7,S
94.1,95.3,S
96.5,100.9,S
97.9,98.7,I
101.7,107.4,S
103.0,103.0,I
106.6,106.6,I
108.1,118.4,S
119.8,125.0,S
127.3,144.4,S
145.7,149.2,S
150.6,151.2,S
153.1,161.0,S
162.7,165.0,S
168.1,174.7,S
176.1,176.7,S
177.8,181.6,S
179.1,179.2,I
183.9,187.5,S
188.9,199.1,S
197.3,198.1,I
200.1,228.3,S
230.1,244.6,S
247.8,250.5,S
250.9,252.8,I
253.5,256.5,S
256.3,257.5,I
258.1,260.0,S
258.9,259.4,I
