start,stop,speaker
0.5,5.8,I
5.2,11.6,S
11.6,15.6,I
12.8,13.0,S
16.5,26.3,I
28.0,29.7,S
29.9,30.3,I
31.0,35.0,S
36.2,38.1,S
39.8,40.9,S
42.1,48.9,S
50.2,59.2,S
60.8,65.9,S
67.0,71.4,S
73.3,75.5,S
76.6,89.7,S
92.0,95.1,S
97.5,98.0,S
99.1,99.7,S
100.7,101.6,S
102.8,106.3,S
108.7,112.8,S
112.5,113.3,I
113.6,132.6,S
134.1,140.0,S
141.4,147.8,I
144.7,145.9,S
148.5,151.5,S
154.2,157.0,S
158.1,160.5,S
163.1,166.3,S
167.4,181.1,S
175.1,177.2,I
183.7,183.9,S
184.9,197.4,S
198.8,220.8,S
222.2,231.6,S
232.9,233.6,S
236.5,246.9,S
250.8,252.7,S
254.8,256.6,S
258.9,269.9,S
272.5,285.1,S
284.5,284.6,I
286.3,287.6,S
286.3,286.6,I
288.9,298.1,S
300.3,304.7,S
304.3,304.5,I
305.7,307.1,S
309.7,320.5,S
320.7,321.3,I
321.5,328.3,S
329.5,339.6,S
342.3,344.0,S
344.4,346.6,I
345.1,345.5,S
346.6,348.9,S
348.3,353.5,I
353.5,356.2,S
356.0,357.5,I
357.0,357.7,S
359.0,360.7,S
362.5,369.5,S
370.7,397.3,S
395.1,397.0,I
398.3,407.4,S
409.9,410.0,S
413.9,419.0,S
416.5,417.2,I
419.4,420.0,I
420.0,426.9,S
426.1,431.0,I
