start,stop,speaker
0.7,5.4,I
8.6,42.8,S
28.5,28.6,I
41.6,42.8,I
43.4,50.1,S
48.8,53.3,I
56.9,58.2,S
60.8,74.4,S
74.4,78.1,I
82.1,83.5,S
85.1,92.3,S
92.6,92.8,I
93.0,95.3,S
93.9,101.0,I
101.4,102.4,S
101.7,102.2,I
104.1,116.9,S
118.4,139.3,S
135.2,135.4,I
140.1,145.4,S
146.4,151.0,I
152.1,155.1,I
156.3,160.4,I
162.1,170.5,S
163.4,163.8,I
168.8,177.5,I
179.0,224.1,S
207.2,207.9,I
224.7,226.6,S
228.3,234.3,I
237.8,238.5,S
239.6,243.1,I
247.6,249.9,S
251.5,254.8,S
256.0,329.9,S
278.3,279.2,I
300.3,301.2,I
312.4,312.4,I
330.8,340.0,S
335.3,335.8,I
337.3,337.6,I
