start,stop,speaker
0.5,21.8,I
4.3,4.7,S
6.9,7.1,S
27.8,30.8,S
28.6,28.7,I
30.2,38.5,I
39.5,42.8,I
44.0,44.4,I
47.8,51.4,S
51.4,52.2,I
53.4,54.7,S
59.6,64.0,I
62.9,80.3,S
81.5,82.7,S
84.1,95.9,S
99.8,104.9,I
101.8,102.2,S
105.6,108.0,I
106.4,108.9,S
112.2,115.6,I
115.6,124.2,S
117.1,122.9,I
125.0,128.6,S
129.7,136.4,S
137.5,139.5,S
142.8,144.0,S
146.7,148.4,S
149.9,162.2,S
182.8,184.6,S
184.6,188.7,I
190.2,195.4,S
194.9,198.4,I
197.1,204.2,S
205.5,210.6,S
212.3,214.5,S
217.0,219.5,S
221.2,224.2,S
231.0,233.8,S
238.7,242.1,S
248.2,249.7,S
248.2,248.5,I
254.3,257.7,S
258.7,260.7,S
261.8,266.0,S
268.2,271.5,S
273.4,274.5,S
278.7,283.6,S
288.5,290.0,S
291.8,299.5,S
301.3,311.5,S
320.4,322.5,S
324.6,331.5,S
333.1,336.5,S
337.5,337.9,I
338.6,339.0,S
