start,stop,speaker
0.5,18.1,I
7.6,9.1,S
16.9,17.0,S
20.3,20.3,I
24.0,27.9,I
29.1,41.0,S
41.5,41.9,I
42.4,46.7,S
52.3,53.9,S
56.3,66.6,S
68.2,71.4,S
73.8,75.0,S
74.9,78.1,I
80.1,85.2,S
85.5,85.8,I
86.1,86.6,S
89.0,89.7,S
92.3,93.2,S
94.4,104.0,S
99.0,100.0,I
106.9,109.1,S
110.8,112.3,S
116.2,119.6,S
126.6,131.4,S
135.5,136.9,S
138.5,139.5,S
140.6,146.6,S
148.9,150.7,S
151.7,156.1,S
154.3,154.8,I
156.8,157.9,S
162.3,164.7,S
165.9,171.1,S
176.4,181.3,S
184.1,188.1,S
184.5,184.8,I
190.7,197.1,S
203.3,204.8,S
207.8,216.0,S
211.7,214.4,I
