start,stop,speaker
0.5,19.4,I
15.5,16.8,S
20.2,23.9,I
24.5,30.1,S
31.1,32.8,S
34.0,35.5,I
35.5,44.5,S
44.5,53.7,I
53.2,62.4,S
64.0,64.6,S
65.8,70.0,S
71.1,72.6,S
74.4,75.0,S
76.6,77.5,S
78.7,81.6,S
82.2,83.6,I
82.3,89.2,S
84.5,84.5,I
91.0,97.0,S
95.0,99.6,I
98.0,107.2,S
108.3,119.5,S
120.7,143.3,S
145.2,149.5,S
148.3,150.9,I
152.4,156.8,S
160.8,168.9,S
164.4,166.7,I
170.1,180.6,S
182.6,197.4,S
184.6,186.8,I
198.2,198.3,S
199.5,212.0,S
211.0,211.0,I
