start,stop,speaker
0.5,6.5,I
9.4,11.0,I
10.0,44.8,S
45.1,53.3,I
55.1,70.3,S
57.7,58.2,I
59.8,60.2,I
67.8,72.3,I
73.4,73.9,S
76.1,91.8,S
88.4,89.4,I
91.8,92.6,I
93.7,95.8,I
96.8,115.2,S
116.6,121.8,S
116.7,117.4,I
121.8,132.5,I
132.6,148.5,S
142.9,143.9,I
148.3,150.5,I
149.5,152.9,S
153.1,153.5,I
155.5,159.5,I
160.1,161.1,S
161.1,163.5,I
161.7,201.9,S
191.3,192.9,I
201.9,206.5,I
207.6,210.4,S
212.1,214.1,S
215.7,239.4,S
217.3,218.4,I
229.1,229.5,I
238.1,238.3,I
239.4,244.9,I
244.9,247.2,S
246.2,252.0,I
252.3,264.4,S
256.4,256.9,I
266.4,272.4,I
274.2,277.1,I
278.5,283.1,I
283.1,309.1,S
310.1,328.1,S
329.9,332.0,S
332.5,337.5,I
340.3,342.0,S
341.1,347.0,I
345.4,356.8,S
356.0,356.0,I
357.5,367.7,S
370.4,371.2,I
