start,stop,speaker
0.5,25.8,I
4.1,4.1,S
17.3,19.2,S
21.6,24.5,S
26.1,28.6,S
30.1,31.2,S
33.0,35.4,S
37.5,38.6,S
41.0,42.4,S
42.3,46.5,I
46.5,47.8,S
49.2,50.3,S
53.2,57.7,S
60.9,70.9,S
72.0,77.1,S
79.0,80.7,S
80.2,86.9,I
86.9,87.0,S
88.1,99.0,S
101.3,108.1,S
110.9,120.9,S
126.1,128.3,S
129.4,133.4,S
135.3,141.0,S
146.2,151.3,I
151.1,151.5,S
155.4,157.4,S
158.7,159.7,S
161.4,162.8,S
164.0,164.7,S
167.7,187.6,S
193.0,197.7,S
199.8,207.7,S
211.9,213.0,S
215.2,224.8,S
227.0,227.7,S
228.9,236.1,S
244.9,249.4,I
251.3,260.3,S
262.4,267.9,S
269.2,272.3,S
273.7,278.0,S
275.1,275.3,I
