start,stop,speaker
0.5,9.5,I
9.1,18.2,S
21.3,22.2,S
23.3,25.5,S
28.1,28.4,I
29.5,37.5,I
39.0,41.5,S
40.9,46.5,I
47.6,48.4,S
49.7,50.7,S
51.9,65.4,S
66.9,70.7,S
72.3,74.0,S
76.5,78.1,I
79.8,82.5,S
84.4,84.5,S
84.5,90.8,I
91.7,93.7,S
93.3,93.7,I
94.6,96.2,S
97.5,98.4,S
98.0,98.0,I
100.2,101.8,S
103.2,106.6,S
108.8,110.3,S
111.6,122.0,S
118.7,119.1,I
123.0,125.5,S
126.5,146.4,S
145.9,147.0,I
149.2,150.8,I
151.8,154.2,I
156.1,162.0,I
162.5,166.8,S
168.8,174.2,S
176.0,178.7,S
179.3,179.6,I
183.4,186.1,I
186.1,188.0,S
189.3,192.5,S
192.9,199.3,I
196.7,197.0,S
201.6,202.9,S
205.0,208.1,S
206.9,209.8,I
209.1,212.4,S
213.5,216.7,S
217.8,224.7,S
226.0,226.5,S
227.3,235.5,I
236.8,243.5,S
246.6,249.0,S
249.2,254.1,I
255.3,258.5,S
261.5,263.2,I
265.0,266.5,S
270.2,290.5,S
291.6,292.7,S
294.8,303.2,S
305.1,308.0,I
311.7,315.0,S
318.0,324.0,S
327.2,338.5,I
332.9,335.1,S
339.7,340.0,I
346.2,359.1,I
357.8,357.8,S
360.6,360.7,I
360.7,361.3,S
362.7,370.0,S
371.1,377.8,S
380.2,385.5,I
385.5,386.5,S
391.0,401.0,I
402.3,403.8,I
405.0,416.0,I
