start,stop,speaker
0.5,10.9,I
12.2,42.0,S
18.7,19.0,I
42.6,50.0,S
42.7,43.6,I
47.2,47.2,I
50.3,55.2,I
56.1,64.6,S
70.0,71.8,I
73.9,108.9,S
89.7,89.7,I
109.7,114.0,S
115.5,116.9,I
117.7,128.7,S
121.1,123.2,I
129.4,137.5,S
138.7,139.2,S
138.7,144.5,I
144.0,185.5,S
164.0,164.5,I
178.2,178.8,I
183.5,184.5,I
185.9,186.7,I
187.7,191.9,I
193.2,194.2,S
195.6,197.0,S
200.1,200.9,S
203.2,221.9,S
225.1,235.6,S
226.1,226.1,I
236.7,252.2,S
252.6,253.6,I
253.6,270.9,S
271.4,271.7,I
271.7,283.9,S
285.0,289.4,S
289.2,294.2,I
294.2,317.5,S
318.8,356.2,S
354.9,359.9,I
360.6,374.7,S
366.9,367.1,I
374.7,374.7,I
375.6,376.5,S
376.5,376.5,I
377.5,377.8,I
378.8,383.2,I
383.0,383.1,S
383.9,385.9,I
385.9,386.5,S
386.9,390.2,I
391.2,400.4,I
393.9,394.1,S
400.1,428.8,S
428.4,428.8,I
430.3,432.9,I
434.1,435.9,I
438.3,441.2,I
442.1,454.9,S
456.0,459.0,S
459.0,459.7,I
459.7,460.7,S
462.0,468.0,S
464.8,465.4,I
468.0,468.0,I
