start,stop,speaker
0.7,14.8,I
16.0,42.9,S
42.9,44.3,I
45.2,45.2,S
45.2,45.8,I
46.9,65.7,I
65.0,72.0,S
73.5,75.0,S
77.3,96.4,S
90.1,91.1,I
96.9,97.1,I
98.4,98.4,I
99.5,99.6,I
100.7,103.0,I
103.0,108.6,S
108.5,110.8,I
109.8,146.2,S
147.4,147.4,I
147.8,150.0,S
150.4,150.8,I
151.8,155.5,I
158.4,160.1,I
160.4,182.1,S
181.1,183.5,I
189.1,198.8,I
198.9,211.9,S
212.1,212.4,I
212.6,213.6,S
215.2,217.0,S
217.1,217.4,I
217.7,218.0,S
219.6,220.0,I
223.7,223.9,I
225.1,241.0,S
229.4,229.6,I
241.6,244.9,S
243.9,244.2,I
245.7,249.0,S
249.3,256.0,I
256.6,280.4,S
280.6,280.9,I
281.2,282.3,S
285.6,288.3,I
289.5,304.8,S
304.8,305.2,I
305.9,308.9,S
306.8,312.3,I
313.9,314.8,I
315.6,328.8,S
329.9,335.8,S
335.9,336.2,I
336.5,343.4,S
339.2,339.7,I
344.1,348.0,S
347.9,352.7,I
353.5,354.1,S
354.9,361.9,I
362.8,369.2,S
370.5,378.0,S
379.8,390.1,S
386.7,387.0,I
390.9,391.9,S
391.9,395.7,I
393.5,394.7,S
396.4,407.5,I
407.5,407.6,S
408.4,408.4,I
408.4,441.3,S
441.8,442.0,I
442.3,443.1,S
445.3,445.7,I
