start,stop,speaker
0.5,18.3,I
19.7,20.9,S
21.2,25.4,I
27.5,28.3,S
29.7,32.7,I
34.0,34.6,S
46.4,49.0,S
49.5,52.5,I
50.5,51.3,S
53.1,55.8,I
56.8,61.1,S
59.0,59.1,I
61.7,62.6,I
66.3,67.4,S
77.3,77.9,S
82.7,86.2,I
84.5,85.5,S
86.9,90.7,S
88.5,92.0,I
96.2,103.9,S
105.5,120.3,S
121.3,133.3,S
134.4,140.5,S
142.6,143.5,S
146.4,156.4,S
157.5,159.1,S
161.8,173.8,S
172.6,172.8,I
175.5,180.8,S
181.8,182.6,S
185.6,187.8,S
189.3,195.6,S
197.0,198.4,S
199.5,209.3,S
211.9,214.8,I
212.2,212.3,S
215.4,217.9,I
221.0,226.0,S
225.7,228.0,I
