start,stop,speaker
0.5,12.6,I
13.4,15.2,S
15.3,15.9,I
17.6,19.5,S
22.1,22.9,S
23.5,23.9,I
23.9,30.5,S
27.5,28.2,I
32.8,33.7,S
38.8,58.5,S
51.4,51.8,I
59.2,59.5,S
59.5,61.8,I
63.1,77.4,I
77.4,96.8,S
92.3,92.9,I
96.8,97.3,I
99.1,114.2,S
106.0,108.1,I
114.7,127.4,I
129.5,131.8,S
132.3,132.4,I
136.5,137.0,S
137.0,137.9,I
140.3,142.4,I
142.9,146.1,S
147.1,150.8,S
152.2,169.9,S
171.3,187.5,S
188.8,198.0,I
198.0,202.0,S
203.3,207.0,S
209.0,216.1,S
217.2,228.3,S
229.4,235.9,S
237.5,242.5,S
244.2,245.1,S
247.2,247.5,S
247.5,247.9,I
249.0,251.4,I
252.0,258.7,S
256.3,256.5,I
259.6,260.4,S
261.7,261.9,I
263.5,269.2,I
266.5,271.3,S
272.6,276.8,S
278.4,286.7,S
288.2,294.8,S
294.8,295.1,I
296.7,298.9,I
298.9,307.7,S
309.1,309.5,S
311.0,316.4,S
316.4,320.2,I
317.5,318.2,S
319.3,319.8,S
327.1,328.3,S
330.2,336.0,S
337.4,347.0,S
344.2,346.6,I
348.8,349.2,S
350.5,350.5,I
352.7,356.3,I
352.9,353.5,S
357.5,363.5,S
357.7,358.3,I
361.1,361.4,I
365.8,367.1,I
365.9,366.4,S
368.1,372.2,S
373.9,378.5,I
378.9,384.1,S
386.5,406.2,S
407.9,408.0,I
408.0,416.0,S
417.1,417.3,I
419.9,424.2,S
425.2,432.0,S
430.7,430.9,I
433.9,435.9,S
438.7,441.9,I
440.2,441.0,S
