start,stop,speaker
0.5,3.6,I
5.6,10.0,I
11.3,12.8,I
14.7,17.1,I
18.9,20.6,I
23.8,27.8,S
28.1,32.3,I
34.4,35.7,S
37.7,44.2,S
45.6,48.4,S
50.5,52.6,I
55.2,56.6,S
57.2,61.2,I
62.7,74.9,S
72.3,72.7,I
76.2,83.6,S
84.5,86.5,I
88.1,92.4,I
94.4,95.3,S
97.2,99.1,S
97.4,98.0,I
107.2,121.3,S
122.8,129.2,S
131.2,133.0,S
136.7,141.3,S
140.9,141.0,I
145.3,155.4,S
157.7,161.9,I
161.9,162.2,S
166.0,167.8,I
169.3,169.9,I
172.7,173.4,I
174.5,176.9,I
176.9,207.7,S
209.4,216.4,S
218.2,221.9,S
221.9,222.8,I
222.7,234.4,S
229.7,230.6,I
234.9,240.9,I
244.6,249.6,S
250.8,261.1,S
266.1,282.2,S
284.2,287.2,S
287.2,291.6,I
297.5,299.6,S
304.6,307.1,S
310.6,321.3,S
322.3,342.1,S
343.1,364.8,S
365.9,370.5,S
372.0,373.6,I
373.6,378.0,S
380.2,382.5,S
382.6,384.2,I
386.9,387.5,I
390.0,390.3,I
392.3,393.1,I
