start,stop,speaker
0.5,27.3,I
29.2,31.2,I
32.7,32.9,S
32.9,42.2,I
43.8,45.5,I
46.7,50.1,I
53.2,59.3,S
63.0,64.6,S
64.6,69.4,I
65.6,66.5,S
69.4,81.5,S
85.5,91.3,S
92.6,93.5,S
94.7,95.0,S
97.7,99.3,S
100.6,102.5,S
103.6,108.1,S
111.4,118.8,S
119.9,124.0,S
126.0,127.5,S
131.4,134.0,S
134.0,134.7,I
136.0,142.5,S
147.2,149.8,S
151.7,161.7,S
162.7,166.0,S
166.0,168.0,I
170.0,176.4,S
178.3,183.1,S
184.9,191.5,S
192.7,193.7,S
196.5,210.4,S
211.5,213.9,S
215.9,219.8,S
222.3,228.2,S
229.3,231.4,S
233.0,236.0,S
238.5,241.8,S
244.1,251.4,S
252.7,253.1,S
255.8,256.9,S
258.0,259.3,S
262.3,263.0,S
266.0,271.6,S
273.2,274.4,S
275.5,277.0,S
279.9,280.3,S
281.8,284.1,S
286.5,298.1,S
299.6,305.3,S
308.3,310.7,S
312.4,316.9,I
316.9,317.0,S
319.0,320.0,S
